country_teritorry,product_category,transactions,reported_product_cost,median_observed_expected_ratio,high_review_signals,manufacturers,high_review_share
Guinea,Anti-Retroviral and COVID-19 medicine,12,345.7,1.078851294186234,0,6,0.0
Indonesia,Anti-TB medicine,12,0.0,0.9668539695473863,0,3,0.0
Madagascar,Anti-Retroviral and COVID-19 medicine,12,4721.4,0.963951629510477,0,4,0.0
Mali,Anti-Retroviral and COVID-19 medicine,12,706.5,1.1129553984163483,0,6,0.0
Mauritania,Anti-malaria medicine,12,2526.63,0.8474009173117385,0,3,0.0
South-Eastern Asia,Anti-malaria medicine,12,1955.1,0.7457698074485041,0,4,0.0
Tajikistan,Anti-Retroviral and COVID-19 medicine,12,1178.4,0.9782580730517225,0,7,0.0
Sao Tome and Principe,Anti-TB medicine,11,345.19,0.9832295711511883,0,4,0.0
Sao Tome and Principe,"Diagnostic, PPE and Medical Device",11,2626.4,1.0190379399625533,0,4,0.0
Uzbekistan,Anti-TB medicine,11,1023.06,1.054433252280003,0,4,0.0
Zimbabwe,Anti-malaria medicine,11,3201.16,0.7472783453709765,0,4,0.0
Cabo Verde,Anti-TB medicine,10,2545.99,1.066709076460598,0,7,0.0
Kazakhstan,Anti-TB medicine,10,0.0,0.8514850585394471,0,7,0.0
Moldova,Anti-TB medicine,10,0.0,0.849359857067777,0,7,0.0
Oceania,Anti-Retroviral and COVID-19 medicine,10,4285.35,0.755811871633278,0,4,0.0
Philippines,Anti-malaria medicine,10,57.0,0.730739075622197,0,3,0.0
Sri Lanka,"Diagnostic, PPE and Medical Device",10,132.0,0.416895791609909,0,4,0.0
